DriverId,Processed_Speed,Aggregated_Speed,Processed_Acceleration,Aggregated_Acceleration,Processed_Jerk,Aggregated_Jerk,Processed_Braking_Intensity,Aggregated_Braking_Intensity,Processed_Heading_Change,Aggregated_Heading_Change,Processed_SASV,Aggregated_SASV,Processed_Speed_Violation,Aggregated_Speed_Violation,Processed_Driving_Score,Aggregated_Driving_Score,Processed_Driving_Category,Aggregated_Driving_Category
1,0.5200575027382256,0.5200575027382256,0.4219663742690062,0.4219663742690062,0.4989590824785176,0.4989590824785176,0.08959474260679058,0.0895947426067905,0.3845659925649868,0.3845659925649868,0,0,1,1,62.46,58.88,Risky,Risky
2,0.5299432829181495,0.5299432829181494,0.418941757099132,0.4189417570991319,0.49996371864527506,0.499963718645275,0.08683274021352291,0.0868327402135229,0.6649999527434827,0.6649999527434828,0,0,1,1,61.84,55.88,Risky,Risky
3,0.2885473901098901,0.2885473901098901,0.42088170349039955,0.4208817034903995,0.5008709788854747,0.5008709788854747,0.09846153846153824,0.0984615384615382,0.18957095474876431,0.1895709547487643,0,0,0,0,75.43,81.58,Safe,Safe
4,0.676851455479452,0.676851455479452,0.4246512797170858,0.4246512797170858,0.49973513512429524,0.4997351351242952,0.08083692867899474,0.0808369286789947,0.7756662664730848,0.7756662664730847,0,0,1,1,50.33,51.05,Risky,Risky
5,0.23999233128834355,0.2399923312883435,0.42955409191738914,0.4295540919173891,0.49196180778014753,0.4919618077801475,0.1305521472392635,0.1305521472392635,0.2151693998784073,0.2151693998784072,0,0,0,0,76.94,82.29,Safe,Safe
6,0.32209297306629836,0.3220929730662983,0.4178230393386463,0.4178230393386463,0.49907513648702206,0.499075136487022,0.1350828729281765,0.1350828729281764,0.37772174498464134,0.3777217449846413,0,0,0,0,71.69,78.73,Moderate,Moderate
7,0.3607648642322097,0.3607648642322097,0.4330406248945578,0.4330406248945578,0.5030354770039613,0.5030354770039613,0.12662010324931644,0.1266201032493164,0.36392013331156753,0.3639201333115675,0,0,1,1,68.88,62.7,Risky,Moderate
8,0.2841041021671827,0.2841041021671826,0.4253158117592205,0.4253158117592206,0.5013322014800884,0.5013322014800884,0.12167182662538673,0.1216718266253867,0.6475026650885904,0.6475026650885904,0,0,0,0,71.17,76.93,Risky,Moderate
9,0.643068720379147,0.643068720379147,0.4250574300331902,0.4250574300331902,0.5035172651826626,0.5035172651826627,0.12180529588242943,0.1218052958824294,0.3642846714271677,0.3642846714271677,0,0,1,1,58.27,55.78,Risky,Risky
10,0.2393901854219949,0.2393901854219948,0.4413921279639346,0.4413921279639346,0.5057685479716485,0.5057685479716485,0.11432225063938595,0.1143222506393859,0.4804371496761332,0.4804371496761332,0,0,0,0,76.73,79.49,Moderate,Moderate
11,0.4681459407216495,0.4681459407216495,0.4321252779462304,0.4321252779462304,0.5006752391926412,0.5006752391926412,0.08970345664038791,0.0897034566403878,0.17244127193335132,0.1724412719333513,0,0,1,1,66.27,62.14,Risky,Moderate
12,0.41051505632582325,0.4105150563258232,0.43646324641727713,0.4364632464172772,0.49962151200399413,0.4996215120039942,0.10779896013864793,0.1077989601386479,0.5432421434024086,0.5432421434024086,0,0,1,1,65.91,59.72,Risky,Risky
13,0.28937829525483305,0.289378295254833,0.43569468853739535,0.4356946885373954,0.5011662569889127,0.5011662569889127,0.12340128881077884,0.1234012888107788,0.17134747512658913,0.1713474751265891,0,0,0,0,75.67,81.39,Safe,Safe
14,0.39380220334101385,0.3938022033410138,0.4345297223819734,0.4345297223819735,0.49726125170263563,0.4972612517026357,0.10437788018433156,0.1043778801843315,0.3389173225631629,0.3389173225631629,0,0,1,1,67.29,62.24,Risky,Moderate
15,0.3745409811985899,0.3745409811985899,0.420782046661203,0.420782046661203,0.500559379421597,0.500559379421597,0.1266745005875438,0.1266745005875438,0.3212960216391384,0.3212960216391384,0,0,0,0,70.71,77.98,Safe,Moderate
16,0.5389786948748511,0.538978694874851,0.4329583943340539,0.4329583943340539,0.5029294206342442,0.5029294206342442,0.1225268176400474,0.1225268176400473,0.5719249171661513,0.5719249171661513,0,0,1,1,59.76,56.18,Risky,Risky
17,0.22868649057873486,0.2286864905787348,0.44280453019218413,0.4428045301921842,0.5008141052378632,0.5008141052378633,0.1068640646029607,0.1068640646029607,0.5159780935523671,0.515978093552367,0,0,0,0,75.18,79.44,Moderate,Moderate
18,0.3350224194729136,0.3350224194729136,0.4490070396117741,0.4490070396117741,0.49731514255217485,0.4973151425521748,0.10102489019033652,0.1010248901903365,0.24771393374427195,0.2477139337442719,0,0,1,1,70.59,64.42,Moderate,Moderate
19,0.29404012439320387,0.2940401243932038,0.4524661502950698,0.4524661502950698,0.49782073345680994,0.4978207334568099,0.11796473443746405,0.117964734437464,0.3041297790357084,0.3041297790357085,0,0,0,0,73.06,79.74,Safe,Moderate
20,0.24691545307443366,0.2469154530744336,0.4315015652077708,0.4315015652077707,0.4926715554897365,0.4926715554897365,0.11294498381876997,0.1129449838187699,0.5665917440862908,0.5665917440862906,0,0,0,0,73.42,78.66,Safe,Moderate
21,0.36068466239813735,0.3606846623981373,0.4349065450782567,0.4349065450782567,0.5069545626707155,0.5069545626707156,0.10430733410942933,0.1043073341094293,0.517519224197264,0.517519224197264,0,0,0,0,70.31,76.23,Moderate,Moderate
22,0.3460528922345483,0.3460528922345483,0.4263094691688393,0.4263094691688393,0.5011494219823889,0.5011494219823889,0.07226624405705213,0.0722662440570521,0.35604833754974424,0.3560483375497442,0,0,0,0,71.28,78.53,Moderate,Moderate
23,0.3551413075560803,0.3551413075560803,0.4312267936279797,0.4312267936279797,0.50041391152827,0.50041391152827,0.14285970946049967,0.1428597094604996,0.7939453218835177,0.7939453218835177,0,0,0,0,65.17,73.5,Risky,Moderate
24,0.6116963171036205,0.6116963171036205,0.42155638784852306,0.421556387848523,0.4991253748905805,0.4991253748905806,0.11735330836454404,0.117353308364544,0.7037401098262052,0.7037401098262052,0,0,1,1,55.02,53.26,Risky,Risky
25,0.5862105411499436,0.5862105411499436,0.43208248016294803,0.4320824801629481,0.5016993970766441,0.5016993970766441,0.04915445321307769,0.0491544532130776,0.44887270223012987,0.4488727022301298,0,0,1,1,60.14,56.62,Risky,Risky
26,0.26981382978723406,0.269813829787234,0.44232337368322605,0.442323373683226,0.483803611836674,0.4838036118366741,0.13163120567375855,0.1316312056737585,0.47720784493940754,0.4772078449394075,0,0,0,0,73.15,78.77,Safe,Moderate
27,0.47671178343949044,0.4767117834394904,0.4262263654678915,0.4262263654678916,0.5001878781614345,0.5001878781614345,0.11490445859872585,0.1149044585987258,0.6874417721534429,0.6874417721534429,0,0,1,1,61.73,56.74,Risky,Risky
28,0.5341981132075472,0.5341981132075471,0.4371017546033815,0.4371017546033815,0.5040987398767399,0.5040987398767399,0.08994949964370892,0.0899494996437089,0.22559570950766308,0.225595709507663,0,0,1,1,64.96,59.86,Risky,Risky
29,0.43788932724252494,0.4378893272425248,0.43660363944601704,0.436603639446017,0.5061168490094852,0.5061168490094852,0.11694352159468413,0.1169435215946841,0.24343715089836465,0.2434371508983646,0,0,1,1,68.43,61.95,Risky,Moderate
30,0.3915294027093596,0.3915294027093596,0.4271346469622335,0.4271346469622336,0.493469914483089,0.4934699144830891,0.100246305418719,0.100246305418719,0.6391323307072388,0.6391323307072388,0,0,1,1,65.26,59.44,Risky,Risky
31,0.5237280475206612,0.5237280475206612,0.4319351420277748,0.4319351420277748,0.4947902863919903,0.4947902863919903,0.0812672176308538,0.0812672176308538,0.7741119676343984,0.7741119676343984,0,0,1,1,57.76,54.81,Risky,Risky
32,0.5148450286415712,0.5148450286415712,0.4248471349915616,0.4248471349915616,0.500745452927824,0.500745452927824,0.08216720335249492,0.0821672033524949,0.5257827882229172,0.5257827882229172,0,0,1,1,60.43,57.58,Risky,Risky
33,0.4802400914634146,0.4802400914634146,0.42469819173549483,0.4246981917354948,0.49612590042750737,0.4961259004275074,0.09658536585365832,0.0965853658536583,0.13164366403834582,0.1316436640383458,0,0,1,1,68.11,62.34,Risky,Moderate
34,0.412708849009901,0.412708849009901,0.4055232050819657,0.4055232050819657,0.49930331156095115,0.4993033115609511,0.10793242661516421,0.1079324266151642,0.5831821134544019,0.5831821134544019,0,0,1,1,65.6,59.73,Risky,Risky
35,0.26637716623876767,0.2663771662387676,0.42393238496368485,0.4239323849636848,0.4933176947842004,0.4933176947842004,0.09373044040037902,0.093730440400379,0.5499865282534423,0.5499865282534423,0,0,0,0,76.97,78.55,Moderate,Moderate
36,0.41176114341085274,0.4117611434108527,0.4266839675393575,0.4266839675393575,0.5042108386887066,0.5042108386887068,0.1310077519379842,0.1310077519379842,0.3812133841273696,0.3812133841273696,0,0,1,1,68.24,61.32,Risky,Moderate
37,0.26045022551546393,0.2604502255154639,0.4251486473508624,0.4251486473508624,0.5046872441413427,0.5046872441413428,0.1394370607909205,0.1394370607909205,0.2394155219229595,0.2394155219229595,0,0,0,0,76.47,81.5,Moderate,Safe
38,0.5254891304347826,0.5254891304347826,0.4234717373673264,0.4234717373673264,0.4994235397722532,0.4994235397722533,0.09879826510102592,0.0987982651010259,0.2217221084342418,0.2217221084342418,0,0,1,1,65.44,60.3,Risky,Moderate
39,0.47748419943820225,0.4774841994382022,0.42724252491694387,0.4272425249169439,0.5008761668067053,0.5008761668067053,0.11192131098585213,0.1119213109858521,0.8218816573741393,0.8218816573741393,0,0,1,1,58.02,55.37,Risky,Risky
40,0.3052439458689459,0.3052439458689458,0.42533406472222773,0.4253340647222277,0.49954996193322304,0.499549961933223,0.15270655270655237,0.1527065527065523,0.2768959569871641,0.2768959569871641,0,0,0,0,71.13,79.96,Moderate,Moderate
41,0.48861424180327867,0.4886142418032786,0.42650273224043744,0.4265027322404375,0.49808244724390777,0.4980824472439077,0.06590163934426212,0.0659016393442621,0.6472135553453698,0.6472135553453698,0,0,1,1,60.86,57.1,Risky,Risky
42,0.6330474624060151,0.6330474624060151,0.4186753290994481,0.418675329099448,0.5045196347631864,0.5045196347631864,0.12932330827067637,0.1293233082706763,0.7174632536501613,0.7174632536501612,0,0,1,1,55.41,52.55,Risky,Risky
43,0.5702844982078853,0.5702844982078853,0.42741935483871,0.42741935483871,0.5011492093459426,0.5011492093459426,0.08864994026284327,0.0886499402628432,0.21405920089240746,0.2140592008924074,0,0,1,1,63.61,59.24,Risky,Risky
45,0.47811692506459946,0.4781169250645994,0.4275359357546879,0.4275359357546879,0.5064736967637606,0.5064736967637609,0.08011530457634666,0.0801153045763466,0.4199790092077739,0.4199790092077739,0,0,1,1,64.89,59.5,Risky,Risky
46,0.5885876017639078,0.5885876017639077,0.42073333832788135,0.4207333383278813,0.4987841371399565,0.4987841371399565,0.07680715219219,0.07680715219219,0.7109280255413655,0.7109280255413654,0,0,1,1,58.73,53.99,Risky,Risky
47,0.6585997750642674,0.6585997750642673,0.41001881499962134,0.4100188149996213,0.499075436141515,0.499075436141515,0.06659751752276047,0.0665975175227604,0.2056434503521187,0.2056434503521187,0,0,1,1,61.09,57.5,Risky,Risky
48,0.5787613565162907,0.5787613565162907,0.4273152438487157,0.4273152438487158,0.49802777249924474,0.4980277724992447,0.11930557015155394,0.1193055701515539,0.37190931474521394,0.371909314745214,0,0,1,1,58.69,57.32,Risky,Risky
49,0.18508154376012967,0.1850815437601296,0.4292247306101236,0.4292247306101236,0.5082289085853872,0.5082289085853872,0.1416596740883782,0.1416596740883782,0.418411950916354,0.4184119509163539,0,0,0,0,79.41,81.5,Safe,Safe
50,0.2512365107913669,0.2512365107913669,0.4223043684867777,0.4223043684867777,0.4966583923390431,0.4966583923390431,0.12345323741007168,0.1234532374100716,0.468897527492496,0.468897527492496,0,0,0,0,75.77,79.59,Moderate,Moderate
